Agency Code,Product Number,Recommendation Target Agency/Organization,Engagement Code,Recommendation Text,Status Comments
026,GAO-14-413,National Aeronautics and Space Administration,310998,"To ensure the effective management of software licenses, the Adminitrator of the National Aeronautics and Space Administration should establish a comprehensive inventory of software licenses using automated tools for the majority of agency software license spending and/or enterprise-wide licenses.", 
026,GAO-14-413,National Aeronautics and Space Administration,310998,"To ensure the effective management of software licenses, the Adminitrator of the National Aeronautics and Space Administration should provide software license management training to appropriate agency personnel addressing contract terms and conditions, negotiations, laws and regulations, acquisition, security planning, and configuration management.", 
026,GAO-14-413,National Aeronautics and Space Administration,310998,"To ensure the effective management of software licenses, the Adminitrator of the National Aeronautics and Space Administration should regularly track and maintain a comprehensive inventory of software licenses using automated tools and metrics.", 
422,GAO-14-413,National Science Foundation,310998,"To ensure the effective management of software licenses, the Director of the National Science Foundation should analyze agency-wide software license data, such as costs, benefits, usage, and trending data, to identify opportunities to reduce costs and better inform investment decision making.", 
422,GAO-14-413,National Science Foundation,310998,"To ensure the effective management of software licenses, the Director of the National Science Foundation should develop an agency-wide comprehensive policy for the management of software licenses that addresses the weaknesses we identified.", 
422,GAO-14-413,National Science Foundation,310998,"To ensure the effective management of software licenses, the Director of the National Science Foundation should provide software license management training to appropriate agency personnel addressing contract terms and conditions, negotiations, laws and regulations, acquisition, security planning, and configuration management.", 
422,GAO-14-413,National Science Foundation,310998,"To ensure the effective management of software licenses, the Director of the National Science Foundation should regularly track and maintain a comprehensive inventory of software licenses using automated tools and metrics.", 
429,GAO-14-413,Nuclear Regulatory Commission,310998,"To ensure the effective management of software licenses, the Chairman of the Nuclear Regulatory Commission should analyze agency-wide software license data, such as costs, benefits, usage, and trending data, to identify opportunities to reduce costs and better inform investment decision making.", 
429,GAO-14-413,Nuclear Regulatory Commission,310998,"To ensure the effective management of software licenses, the Chairman of the Nuclear Regulatory Commission should develop an agency-wide comprehensive policy for the management of software licenses that addresses the weaknesses we identified.", 
429,GAO-14-413,Nuclear Regulatory Commission,310998,"To ensure the effective management of software licenses, the Chairman of the Nuclear Regulatory Commission should employ a centralized software license management approach that is coordinated and integrated with key personnel for the majority of agency software license spending and/or enterprise-wide licenses.", 
429,GAO-14-413,Nuclear Regulatory Commission,310998,"To ensure the effective management of software licenses, the Chairman of the Nuclear Regulatory Commission should establish a comprehensive inventory of software licenses using automated tools for the majority of agency software license spending and/or enterprise-wide licenses.", 
429,GAO-14-413,Nuclear Regulatory Commission,310998,"To ensure the effective management of software licenses, the Chairman of the Nuclear Regulatory Commission should provide software license management training to appropriate agency personnel addressing contract terms and conditions, negotiations, laws and regulations, acquisition, security planning, and configuration management.", 
429,GAO-14-413,Nuclear Regulatory Commission,310998,"To ensure the effective management of software licenses, the Chairman of the Nuclear Regulatory Commission should regularly track and maintain a comprehensive inventory of software licenses using automated tools and metrics.", 
027,GAO-14-413,Office of Personnel Management,310998,"To ensure the effective management of software licenses, the Director of the Office of Personnel Management should analyze agency-wide software license data, such as costs, benefits, usage, and trending data, to identify opportunities to reduce costs and better inform investment decision making.", 
027,GAO-14-413,Office of Personnel Management,310998,"To ensure the effective management of software licenses, the Director of the Office of Personnel Management should develop an agency-wide comprehensive policy for the management of software licenses that addresses the weaknesses we identified", 
027,GAO-14-413,Office of Personnel Management,310998,"To ensure the effective management of software licenses, the Director of the Office of Personnel Management should employ a centralized software license management approach that is coordinated and integrated with key personnel for the majority of agency software license spending and/or enterprise-wide licenses.", 
027,GAO-14-413,Office of Personnel Management,310998,"To ensure the effective management of software licenses, the Director of the Office of Personnel Management should establish a comprehensive inventory of software licenses using automated tools for the majority of agency software license spending and/or enterprise-wide licenses.", 
027,GAO-14-413,Office of Personnel Management,310998,"To ensure the effective management of software licenses, the Director of the Office of Personnel Management should provide software license management training to appropriate agency personnel addressing contract terms and conditions, negotiations, laws and regulations, acquisition, security planning, and configuration management.", 
027,GAO-14-413,Office of Personnel Management,310998,"To ensure the effective management of software licenses, the Director of the Office of Personnel Management should regularly track and maintain a comprehensive inventory of software licenses using automated tools and metrics.", 
028,GAO-14-413,Small Business Administration,310998,"To ensure the effective management of software licenses, the Administrator of the Small Business Administration should analyze agency-wide software license data, such as costs, benefits, usage, and trending data, to identify opportunities to reduce costs and better inform investment decision making.", 
028,GAO-14-413,Small Business Administration,310998,"To ensure the effective management of software licenses, the Administrator of the Small Business Administration should develop an agency-wide comprehensive policy for the management of software licenses that addresses the weaknesses we identified.", 
028,GAO-14-413,Small Business Administration,310998,"To ensure the effective management of software licenses, the Administrator of the Small Business Administration should employ a centralized software license management approach that is coordinated and integrated with key personnel for the majority of agency software license spending and/or enterprise-wide licenses.", 
028,GAO-14-413,Small Business Administration,310998,"To ensure the effective management of software licenses, the Administrator of the Small Business Administration should establish a comprehensive inventory of software licenses using automated tools for the majority of agency software license spending and/or enterprise-wide licenses.", 
028,GAO-14-413,Small Business Administration,310998,"To ensure the effective management of software licenses, the Administrator of the Small Business Administration should provide software license management training to appropriate agency personnel addressing contract terms and conditions, negotiations, laws and regulations, acquisition, security planning, and configuration management.", 
028,GAO-14-413,Small Business Administration,310998,"To ensure the effective management of software licenses, the Administrator of the Small Business Administration should regularly track and maintain a comprehensive inventory of software licenses using automated tools and metrics.", 
005,GAO-14-44,Department of Agriculture,311099,"To improve the implementation of the act, the Secretary of Agriculture should develop and implement policies and procedures for cost-benefit analyses related to computer matching agreements to include key elements such as personnel and computer costs, as well as avoidance of future improper payments and recovery of improper payments and debts.", 
005,GAO-14-44,Department of Agriculture,311099,"To improve the implementation of the act, the Secretary of Agriculture should ensure the DIB performs annual reviews and submits annual reports on the agency's computer matching activities, as required by the act.", 
005,GAO-14-44,Department of Agriculture,311099,"To improve the implementation of the act, the Secretary of Agriculture should ensure the DIB reviews cost-benefit analyses to make certain cost savings information for the computer matching program is included before approving CMAs.", 
018,GAO-14-44,Department of Education,311099,"To improve the implementation of the act, the Secretary of Education should develop and implement policies and procedures for cost-benefit analyses related to computer matching agreements to include key elements such as personnel and computer costs, as well as avoidance of future improper payments and recovery of improper payments and debts.", 
018,GAO-14-44,Department of Education,311099,"To improve the implementation of the act, the Secretary of Education should ensure the DIB performs annual reviews and submits annual reports on agency computer matching activities, as required by the act.", 
018,GAO-14-44,Department of Education,311099,"To improve the implementation of the act, the Secretary of Education should ensure the DIB reviews cost-benefit analyses to make certain cost savings information for the computer matching program is included before approving CMAs.", 
009,GAO-14-44,Department of Health and Human Services,311099,"To improve the implementation of the act, the Secretary of Health and Human Services should develop and implement policies and procedures for cost-benefit analyses related to computer matching agreements to include key elements such as personnel and computer costs, as well as avoidance of future improper payments and recovery of improper payments and debts.", 
009,GAO-14-44,Department of Health and Human Services,311099,"To improve the implementation of the act, the Secretary of Health and Human Services should ensure the DIB performs annual reviews and submits annual reports on agency computer matching activities, as required by the act.", 
009,GAO-14-44,Department of Health and Human Services,311099,"To improve the implementation of the act, the Secretary of Health and Human Services should ensure the DIB reviews cost-benefit analyses to make certain cost savings information for the computer matching program is included before approving CMAs.", 
024,GAO-14-44,Department of Homeland Security,311099,"To improve the implementation of the act, the Secretary of Homeland Security should develop and implement policies and procedures for cost-benefit analyses related to computer matching agreements to include key elements such as personnel and computer costs, as well as avoidance of future improper payments and recovery of improper payments and debts.", 
024,GAO-14-44,Department of Homeland Security,311099,"To improve the implementation of the act, the Secretary of Homeland Security should ensure the DIB performs annual reviews and submits annual reports on agency computer matching activities, as required by the act.", 
024,GAO-14-44,Department of Homeland Security,311099,"To improve the implementation of the act, the Secretary of Homeland Security should ensure the DIB reviews cost-benefit analyses to make certain cost savings information for the computer matching program is included before approving CMAs.", 
012,GAO-14-44,Department of Labor,311099,"To improve the implementation of the act, the Secretary of Labor should develop and implement policies and procedures for cost-benefit analyses related to computer matching agreements to include key elements such as personnel and computer costs, as well as avoidance of future improper payments and recovery of improper payments and debts.", 
012,GAO-14-44,Department of Labor,311099,"To improve the implementation of the act, the Secretary of Labor should ensure the DIB performs annual reviews and submits annual reports on agency computer matching activities, as required by the act.", 
012,GAO-14-44,Department of Labor,311099,"To improve the implementation of the act, the Secretary of Labor should ensure the DIB reviews cost-benefit analyses to make certain cost savings information for the computer matching program is included before approving CMAs.", 
029,GAO-14-44,Department of Veterans Affairs,311099,"To improve the implementation of the act, the Secretary of Veterans Affairs should develop and implement policies and procedures for cost-benefit analyses related to computer matching agreements to include key elements such as personnel and computer costs, as well as avoidance of future improper payments and recovery of improper payments and debts.", 
029,GAO-14-44,Department of Veterans Affairs,311099,"To improve the implementation of the act, the Secretary of Veterans Affairs should ensure the DIB reviews cost-benefit analyses to make certain cost savings information for the computer matching program is included before approving CMAs.", 
016,GAO-14-44,Social Security Administration,311099,"To improve the implementation of the act, the Administrator of Social Security should develop and implement policies and procedures for cost-benefit analyses related to computer matching agreements to include key elements such as personnel and computer costs, as well as avoidance of future improper payments and recovery of improper payments and debts.", 
016,GAO-14-44,Social Security Administration,311099,"To improve the implementation of the act, the Administrator of Social Security should ensure the DIB performs annual reviews and submits annual reports on agency computer matching activities, as required by the act.", 
016,GAO-14-44,Social Security Administration,311099,"To improve the implementation of the act, the Administrator of Social Security should ensure the DIB reviews cost-benefit analyses to make certain cost savings information for the computer matching program is included before approving CMAs.", 
024,GAO-14-459,Department of Homeland Security,311307,"To enhance the cybersecurity of critical infrastructure in the maritime sector, the Secretary of Homeland Security should direct the Commandant of the Coast Guard to use the results of the risk assessment to inform how guidance for area maritime security plans, facility security plans, and other securityrelated planning should address cyber-related risk for the maritime sector.", 
024,GAO-14-459,Department of Homeland Security,311307,"To enhance the cybersecurity of critical infrastructure in the maritime sector, the Secretary of Homeland Security should direct the Commandant of the Coast Guard to work with federal and nonfederal partners to ensure that the maritime risk assessment includes cyber-related threats, vulnerabilities, and potential consequences.", 
024,GAO-14-459,Department of Homeland Security,311307,"To enhance the cybersecurity of critical infrastructure in the maritime sector, the Secretary of Homeland Security should direct the Commandant of the Coast Guard to work with federal and nonfederal stakeholders to determine if the Maritime Modal Sector Coordinating Council should be reestablished to better facilitate stakeholder coordination and information sharing across the maritime environment at the national level.", 
024,GAO-14-459,Department of Homeland Security,311307,"To help ensure the effective use of Port Security Grant Program funds to support the program's stated mission of addressing vulnerabilities in the maritime port environment, the Secretary of Homeland Security should direct the FEMA Administrator, in coordination with the Coast Guard, to develop procedures for officials at the field review level (i.e., captains of the port) and national review level (i.e., the National Review Panel and FEMA) to consult cybersecurity subject matter experts from the Coast Guard and other relevant DHS components, if applicable, during the review of cybersecurity grant proposals for funding.", 
024,GAO-14-459,Department of Homeland Security,311307,"To help ensure the effective use of Port Security Grant Program funds to support the program's stated mission of addressing vulnerabilities in the maritime port environment, the Secretary of Homeland Security should direct the FEMA Administrator, in coordination with the Coast Guard, to use any information on cyberrelated threats, vulnerabilities, and consequences identified in the maritime risk assessment to inform future versions of funding guidance for grant applicants and reviews at the field and national levels.", 
007,GAO-14-486,Department of Defense,311605,"To help ensure that the department's business systems modernization program is fully compliant with the act and is more effectively implemented, the Secretary of Defense should direct the appropriate DOD management entity to define by when and how the department plans to align its business system certification and approval process with its Planning, Programming, Budgeting, and Execution process.", 
007,GAO-14-486,Department of Defense,311605,"To help ensure that the department's business systems modernization program is fully compliant with the act and is more effectively implemented, the Secretary of Defense should direct the appropriate DOD management entity to define criteria for reviewing defense business systems at an appropriate level in the department based on factors such as complexity, scope, cost, and risk, in support of the certification and approval process.", 
007,GAO-14-486,Department of Defense,311605,"To help ensure that the department's business systems modernization program is fully compliant with the act and is more effectively implemented, the Secretary of Defense should direct the appropriate DOD management entity to develop guidance requiring military departments and other defense organizations to use existing business enterprise architecture content to more proactively identify potential duplication and overlap.", 
007,GAO-14-609,Department of Defense,311516,"To ensure that Congress has the information necessary to effectively oversee the efforts of VA and DOD to deliver an interoperable health record and hold the departments accountable for program results, the Secretary of Defense and the Secretary of Veterans Affairs should direct the appropriate organization to ensure that any future expenditure plans (1) include verifiable and accurate budget, cost, and spending information reflecting the approach to the departments' electronic health records programs; (2) provide a deployment timeline that is consistent with an integrated master schedule and shows how deployment activities are related to one another within the scope of the electronic health records programs; (3) include a data standardization schedule for facilitating interoperability as it relates to the departments' electronic health records programs; and (4) provide the basis for an assertion of compliance with acquisition rules, requirements, guidelines, and systems acquisition management practices of the federal government.", 
029,GAO-14-609,Department of Veterans Affairs,311516,"To ensure that Congress has the information necessary to effectively oversee the efforts of VA and DOD to deliver an interoperable health record and hold the departments accountable for program results, the Secretary of Defense and the Secretary of Veterans Affairs should direct the appropriate organization to ensure that any future expenditure plans (1) include verifiable and accurate budget, cost, and spending information reflecting the approach to the departments' electronic health records programs; (2) provide a deployment timeline that is consistent with an integrated master schedule and shows how deployment activities are related to one another within the scope of the electronic health records programs; (3) include a data standardization schedule for facilitating interoperability as it relates to the departments' electronic health records programs; and (4) provide the basis for an assertion of compliance with acquisition rules, requirements, guidelines, and systems acquisition management practices of the federal government.", 
019,GAO-14-612,Department of Energy,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of Energy should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, a system test is fully executed.", 
019,GAO-14-612,Department of Energy,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of Energy should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, a system test plan is developed.", 
019,GAO-14-612,Department of Energy,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of Energy should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, test results are reviewed by agency officials.", 
014,GAO-14-612,Department of State,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of State should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, a system test is fully executed.", 
014,GAO-14-612,Department of State,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of State should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, an independent assessor is selected to assess the system.", 
014,GAO-14-612,Department of State,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of State should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, plans of action and milestones with estimated completion dates and resources assigned for resolution are maintained.", 
014,GAO-14-612,Department of State,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of State should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, security and privacy requirements are communicated to contractors.", 
014,GAO-14-612,Department of State,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of State should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, test results are reviewed by agency officials.", 
021,GAO-14-612,Department of Transportation,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of Transportation should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, a system test is fully executed.", 
021,GAO-14-612,Department of Transportation,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of Transportation should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, plans of action and milestones with estimated completion dates and resources assigned to resolution are maintained.", 
021,GAO-14-612,Department of Transportation,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of Transportation should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, security and privacy requirements are communicated to contractors.", 
021,GAO-14-612,Department of Transportation,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Secretary of Transportation should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, test results are reviewed by agency officials.", 
020,GAO-14-612,Environmental Protection Agency,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Administrator of the Environmental Protection Agency should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, a system test is fully executed.", 
020,GAO-14-612,Environmental Protection Agency,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Administrator of the Environmental Protection Agency should develop, document, and implement oversight procedures for ensuring that, for each contractor-operated system, plans of action and milestones with estimated completion dates and resources assigned for resolution are maintained.", 
027,GAO-14-612,Office of Personnel Management,311303,"To ensure that the privacy and security controls of contractor-operated systems are being properly overseen, the Director of the Office of Personnel Management should develop, document, and implement oversight procedures for ensuring that a system test is fully executed for each contractor-operated system.", 
024,GAO-14-62,Department of Homeland Security,311284,"The Secretary of Homeland Security should direct the Acting Director of ICE to ensure that the appropriate individuals ensure that all significant risks associated with the TECS Mod acquisition are documented in the program's risk and issue inventory--including the acquisition risks mentioned in this report-- and briefed to senior management, as appropriate.", 
024,GAO-14-62,Department of Homeland Security,311284,The Secretary of Homeland Security should direct the Acting Director of ICE to ensure that the appropriate individuals ensure that the newly developed requirements management guidance and recently revised guidance for controlling changes to requirements are fully implemented., 
024,GAO-14-62,Department of Homeland Security,311284,"The Secretary of Homeland Security should direct the Acting Director of ICE to ensure that the appropriate individuals revise and implement the TECS Mod program's risk management strategy and guidance to include clear thresholds for when to escalate risks to senior management, and implement as appropriate.", 
024,GAO-14-62,Department of Homeland Security,311284,"The Secretary of Homeland Security should direct the Under Secretary for Management and acting Chief Information Officer to ensure that data used by the department's governance and oversight bodies to assess the progress and performance of major information technology program acquisition programs are complete, timely, and accurate.", 
024,GAO-14-62,Department of Homeland Security,311284,"To improve DHS's efforts to develop and implement its TECS Mod programs, the Secretary of Homeland Security should direct the CBP Commissioner to ensure that the appropriate individuals develop an integrated master schedule that accurately reflects all of the program's work activities, as well as the timing, sequencing, and dependencies between them.", 
024,GAO-14-62,Department of Homeland Security,311284,"To improve DHS's efforts to develop and implement its TECS Mod programs, the Secretary of Homeland Security should direct the CBP Commissioner to ensure that the appropriate individuals ensure that all significant risks associated with the TECS Mod acquisition are documented in the program's risk and issue inventory inventory--including acquisition risks mentioned in this report report-- and are briefed to senior management, as appropriate.", 
024,GAO-14-62,Department of Homeland Security,311284,"To improve DHS's efforts to develop and implement its TECS Mod programs, the Secretary of Homeland Security should direct the CBP Commissioner to ensure that the appropriate individuals revise and implement the TECS Mod program's requirements management guidance to include the validation of requirements to ensure that each is unique, unambiguous, and testable.", 
024,GAO-14-62,Department of Homeland Security,311284,"To improve DHS's efforts to develop and implement its TECS Mod programs, the Secretary of Homeland Security should direct the CBP Commissioner to ensure that the appropriate individuals revise and implement the TECS Mod program's risk management strategy and guidance to include clear thresholds for when to escalate risks to senior management, and implement as appropriate.", 
023,GAO-14-63,General Services Administration,311600,"To improve planning and execution of the next telecommunications transition, the Administrator of General Services should ensure that project planning guidance to agencies on the future transition calls for establishing transition plans with detailed time lines that take into account priorities relative to agencies' mission-critical systems, contingency plans, and identified risks, and are updated to reflect the current status and endpoint of the transition.", 
023,GAO-14-63,General Services Administration,311600,"To improve planning and execution of the next telecommunications transition, the Administrator of General Services should ensure that the lessons are applied, based on priority and available resources, to the next transition strategy.", 
023,GAO-14-63,General Services Administration,311600,"To improve planning and execution of the next telecommunications transition, the Administrator of General Services should populate and maintain on an ongoing basis the agency's transition lessons-learned database with the lessons GSA has identified and make it available for user searches by those involved in developing the next transition strategy.", 
023,GAO-14-63,General Services Administration,311600,"To improve planning and execution of the next telecommunications transition, the Administrator of General Services should prioritize the lessons, taking into particular consideration the factors GAO reported as contributing to delays, and determine the resources needed to apply them.", 
023,GAO-14-63,General Services Administration,311600,"To improve planning and execution of the next telecommunications transition, the Administrator of General Services, in coordination with the Office of Personnel Management, should examine potential government-wide telecommunications expertise shortfalls and use the study to shape the NS2020 strategic approach.", 
006,GAO-14-64,Department of Commerce,311285,"To better ensure that the Dashboard provides accurate ratings, the Secretary of Commerce should direct the department CIO to ensure that the department's investments are appropriately categorized in accordance with existing statutes and that major IT investments are included on the Dashboard.", 
019,GAO-14-64,Department of Energy,311285,"To better ensure that the Dashboard provides accurate ratings, the Secretary of Energy should direct the department CIO to ensure that the department's investments are appropriately categorized in accordance with existing statutes and that major IT investments are included on the Dashboard.", 
016,GAO-14-64,Social Security Administration,311285,"To better ensure that the Dashboard provides accurate ratings, the Commissioner of the Social Security Administration should direct the CIO to revise the agency's investment management processes to ensure that they are consistent with the baselining best practices identified in our published guidance on cost estimating and assessment.", 
005,GAO-14-65,Department of Agriculture,311280,"To improve the department's implementation of PortfolioStat, as the department finalizes and matures its valuation methodology, the Secretary of Agriculture should direct the CIO to utilize this process to identify whether there are additional opportunities to reduce duplicative, low-value, or wasteful investments.", 
005,GAO-14-65,Department of Agriculture,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of Agriculture should direct the CIO to fully describe the following PortfolioStat Action plan elements: (1) consolidate commodity IT spending under the agency CIO and (2) establish criteria for wasteful, low-value, or duplicative investments.", 
005,GAO-14-65,Department of Agriculture,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Agriculture should direct the CIO to develop a complete commodity IT baseline.", 
005,GAO-14-65,Department of Agriculture,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Agriculture should direct the CIO to develop support for the estimated savings for fiscal years 2013 through 2015 for the Cellular Phone Contract Consolidation, IT Infrastructure Consolidation/Enterprise Data Center Consolidation, and Geospatial Consolidation initiatives.", 
006,GAO-14-65,Department of Commerce,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Commerce should direct the CIO to develop a complete commodity IT baseline.", 
006,GAO-14-65,Department of Commerce,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Commerce should direct the CIO to reflect 100 percent of information technology investments in the department's enterprise architecture.", 
007,GAO-14-65,Department of Defense,311280,"To improve the U.S. Army Corps of Engineers' implementation of PortfolioStat, in future reporting to OMB, the Secretary of Defense should direct the Secretary of the Army to the CIO to fully describe the following PortfolioStat action plan elements: (1) consolidate commodity IT spending under the agency CIO; (2) target duplicative systems or contracts that support common business functions for consolidation; (3) establish criteria for identifying wasteful, low-value, or duplicative investments; and (4) establish a process to identify these potential investments and a schedule for eliminating them from the portfolio.", 
007,GAO-14-65,Department of Defense,311280,"To improve the U.S. Army Corps of Engineers' implementation of PortfolioStat, the Secretary of Defense should direct the Secretary of the Army to report on the agency's progress in consolidating eCPIC to a shared service as part of the OMB integrated data collection quarterly reporting until completed.", 
007,GAO-14-65,Department of Defense,311280,"To improve the department's implementation of PortfolioStat, in the future reporting to OMB, the Secretary of Defense should direct the CIO to fully describe the following PortfolioStat action plan element: consolidate commodity IT spending under the agency CIO.", 
007,GAO-14-65,Department of Defense,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Defense should direct the CIO to develop a complete commodity IT baseline.", 
007,GAO-14-65,Department of Defense,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Defense should direct the CIO to obtain support from the relevant component agencies for the estimated savings for fiscal years 2013 to 2015 for the data center consolidation, enterprise software purchasing, and General Fund Enterprise Business System initiatives.", 
019,GAO-14-65,Department of Energy,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of Energy should direct the CIO to fully describe the following PortfolioStat action plan elements: (1) consolidate commodity IT spending under the agency CIO and (2) establish criteria for identifying wasteful, low-value, or duplicative investments.", 
009,GAO-14-65,Department of Health and Human Services,311280,"To improve the department's implementation of PortfolioStat, in future OMB reporting, the Secretary of Health and Human Services should direct the CIO to fully describe the following PortfolioStat action plan element: consolidate commodity IT spending under the agency CIO.", 
025,GAO-14-65,Department of Housing and Urban Development,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of Housing and Urban Development should direct the CIO to fully describe the following PortfolioStat action plan element: establish criteria for identifying wasteful, low-value, or duplicative investments.", 
025,GAO-14-65,Department of Housing and Urban Development,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Housing and Urban Development should direct the CIO to develop a complete commodity IT baseline.", 
025,GAO-14-65,Department of Housing and Urban Development,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Housing and Urban Development should direct the CIO to report on the department's progress in consolidating the HR End-to-End Performance Management Module to a shared service as part of the OMB integrated data collection quarterly reporting until completed.", 
011,GAO-14-65,Department of Justice,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Attorney General should direct the CIO to fully describe the following PortfolioStat action plan element: establish targets for commodity IT spending reductions and deadlines for meeting those targets.", 
011,GAO-14-65,Department of Justice,311280,"To improve the department's implementation of PortfolioStat, the Attorney General should direct the CIO to reflect 100 percent of information technology investments in the department's enterprise architecture.", 
012,GAO-14-65,Department of Labor,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of Labor should direct the CIO to fully describe the following PortfolioStat action plan elements: (1) consolidate commodity IT spending under the agency CIO and (2) establish targets for commodity IT spending reductions and deadlines for meeting those targets.", 
012,GAO-14-65,Department of Labor,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Labor should direct the CIO to develop a complete commodity IT baseline.", 
012,GAO-14-65,Department of Labor,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Labor should direct the CIO to report on the department's progress in consolidating the cloud e-mail services to a shared service as part of the OMB integrated data collection quarterly reporting until completed.", 
014,GAO-14-65,Department of State,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of State should direct the CIO to fully describe the following PortfolioStat action plan elements: (1) consolidate commodity IT spending under the agency CIO; (2) establish targets for commodity IT spending reductions and deadlines for meeting those targets; (3) move at least two commodity IT areas to shared services; (4) target duplicative systems or contracts that support common business functions for consolidation; and (5) establish a process to identify those potential investments and a schedule for eliminating them from the portfolio.", 
014,GAO-14-65,Department of State,311280,"To improve the department's implementation of PortfolioStat, the Secretary of State should direct the CIO to reflect 100 percent of information technology investments in the department's enterprise architecture.", 
014,GAO-14-65,Department of State,311280,"To improve the department's implementation of PortfolioStat, the Secretary of State should direct the CIO to report on the department's progress in consolidating the Foreign Affairs Network and content publishing and delivery services to shared services as part of the OMB integrated data collection quarterly reporting until completed.", 
021,GAO-14-65,Department of Transportation,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of Transportation should direct the CIO to fully describe the following PortfolioStat action plan elements: (1) consolidate commodity IT spending under the agency CIO; (2) establish targets for commodity IT spending reductions and deadlines for meeting those targets; (3) target duplicative systems or contracts that support common business functions for consolidation; and (4) establish a process to identify those potential investments and a schedule for eliminating them from the portfolio.", 
021,GAO-14-65,Department of Transportation,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Transportation should direct the CIO to report on the department's progress in consolidating the Enterprise Messaging to shared services as part of the OMB integrated data collection quarterly reporting until completed.", 
029,GAO-14-65,Department of Veterans Affairs,311280,"To improve the department's implementation of PortfolioStat, as the department matures its enterprise architecture process, the Secretary of Veterans Affairs should direct the CIO to make use of it, as well as the valuation model, to identify whether there are additional opportunities to reduce duplicative, low-value, or wasteful investments.", 
029,GAO-14-65,Department of Veterans Affairs,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of Veterans Affairs should direct the CIO to fully describe the following PortfolioStat action plan element: target duplicative systems or contracts that support common business functions for consolidation.", 
029,GAO-14-65,Department of Veterans Affairs,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Veterans Affairs should direct the CIO to develop detailed support for the estimated savings for fiscal years 2013 to 2015 for the Server Virtualization, Eliminate Dedicated Fax Servers Consolidation, Renegotiate Microsoft Enterprise License Agreement, and one CPU policy initiatives.", 
029,GAO-14-65,Department of Veterans Affairs,311280,"To improve the department's implementation of PortfolioStat, the Secretary of Veterans Affairs should direct the CIO to report on the department's progress in consolidating the dedicated fax servers to a shared service as part of the OMB integrated data collection quarterly reporting until completed.", 
010,GAO-14-65,Department of the Interior,311280,"To improve the department's implementation of PortfolioStat, in future reporting to OMB, the Secretary of the Interior should direct the CIO to fully describe the following PortfolioStat action plan element: establish criteria for identifying wasteful, low-value, or duplicative investments.", 
